species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis atratus,6.257,NA,Santa Lucia,south_bay,NA,NA,adult,78.4,58.1,NA,1.0593,100,EPN,EPN
Thamnophis atratus,BRN,CRF 3359,Smith River,nor_coast,NA,F,adult,75,53.5,NA,0.7951,0.993,WT,WT
Thamnophis atratus,CRF3355,CRF 3355,Trinity River,nor_coast,NA,M,adult,39,45.5,NA,0.7972,1.83,P,P
Thamnophis atratus,XZ01,EDBJR 23092,Santa Lucia,south_bay,NA,NA,neonate,2.42,17.5,NA,0.3956,25,EPN,EPN
Thamnophis atratus,XZ02,EDBJR 23093,Santa Lucia,south_bay,NA,NA,neonate,2.3,16.9,NA,0.4228,7,WT,WT
Thamnophis atratus,XZ03,EDBJR 23094,Santa Lucia,south_bay,NA,NA,neonate,2.22,16.4,NA,0.382,25,EPN,EPN
Thamnophis atratus,XZ04,EDBJR 23095,Santa Lucia,south_bay,NA,NA,neonate,2.18,16.4,NA,0.3934,10,WT,WT
Thamnophis atratus,XZ06,EDBJR 23097,Santa Lucia,south_bay,NA,NA,neonate,2.13,17.2,NA,0.4165,25,EPN,EPN
Thamnophis atratus,XZ07,EDBJR 23098,Santa Lucia,south_bay,NA,NA,neonate,2.22,17.4,NA,0.3986,8,WT,WT
Thamnophis atratus,XZ09,EDBJR 23100,Santa Lucia,south_bay,NA,NA,neonate,1.59,16.4,NA,0.3768,25,WT,N
Thamnophis atratus,YD01,EDBJR 23146,Santa Lucia,south_bay,NA,NA,neonate,1.85,15.9,NA,0.4363,5,WT,WT
Thamnophis atratus,YD02,EDBJR 23147,Santa Lucia,south_bay,NA,NA,neonate,1.83,16.5,NA,0.3626,6,WT,WT
Thamnophis atratus,YD03,EDBJR 23148,Santa Lucia,south_bay,NA,NA,neonate,2.02,16.2,NA,0.4523,5.5,WT,WT
Thamnophis atratus,YD05,EDBJR 23150,Santa Lucia,south_bay,NA,NA,neonate,1.88,16.3,NA,0.4024,25,EPN,EPN
Thamnophis atratus,YD09,EDBJR 23154,Santa Lucia,south_bay,NA,NA,neonate,2.13,17.5,NA,0.3483,7.4,WT,N
Thamnophis atratus,YD10,EDBJR 23155,Santa Lucia,south_bay,NA,NA,neonate,2.06,16.8,NA,0.3843,10,EPN,EPN
Thamnophis atratus,YD11,EDBJR 23156,Santa Lucia,south_bay,NA,NA,neonate,2.1,16.3,NA,0.3493,6.5,WT,WT
Thamnophis atratus,YH02,EDBJR 23190,Santa Lucia,south_bay,NA,NA,neonate,3.38,19.9,NA,0.4556,15,WT,WT
Thamnophis atratus,YK01,EDBJR 23203,Santa Lucia,south_bay,NA,NA,neonate,2.73,18,NA,0.3882,7.5,WT,WT
Thamnophis atratus,YK03,EDBJR 23205,Santa Lucia,south_bay,NA,NA,neonate,3.39,19.2,NA,0.4137,10,EPN,EPN
Thamnophis atratus,YK06,EDBJR 23208,Santa Lucia,south_bay,NA,NA,neonate,2.68,18.2,NA,0.4462,10,EPN,EPN
Thamnophis atratus,YK08,EDBJR 23210,Santa Lucia,south_bay,NA,NA,neonate,3.57,19.6,NA,0.5249,10,EPN,EPN
Thamnophis atratus,YL01,EDBJR 23211,Santa Lucia,south_bay,NA,NA,neonate,2,15.7,NA,0.3807,7,WT,WT
